,Train_line,LGA,Category,2011,2012,2013,2014,2015,2016,2017,2018,Lng,Lat
120,GreaterPerth,Perth Metro,Total_Pop,,,1943855.0,1973923.0,1998937.0,2019263,2037902.0,2059484.0,115.8793125,-31.9777764
110,Mandurah,Mandurah,Total_Pop,,,79292.0,80927.0,82202.0,83322,84196.0,85302.0,115.7424077,-32.5361038
100,Mandurah,Rockingham,Total_Pop,,,119300.0,123038.0,126012.0,128992,131003.0,133389.0,115.7351403,-32.2780954
90,Mandurah,Kwinana,Total_Pop,,,34707.0,36444.0,38153.0,40058,41849.0,43511.0,115.7763846,-32.2260862
80,Mandurah,Cockburn,Total_Pop,,,102787.0,104906.0,106802.0,108302,110110.0,112165.0,115.6391526,-32.0669485
70,Mandurah,Melville,Total_Pop,,,104319.0,104073.0,103522.0,102342,102076.0,101940.0,115.8034715,-32.0414618
60,Joondalup,Wanneroo,Total_Pop,,,87969.0,90723.0,93666.0,96833,98901.0,100938.0,115.8064758,-31.75729609999999
50,Joondalup,Joondalup,Total_Pop,,,81715.0,81499.0,81135.0,80288,79771.0,79572.0,115.7657296,-31.73392179999999
40,Joondalup,Stirling,Total_Pop,,,218043.0,219372.0,220152.0,220073,219842.0,220249.0,115.8098708,-31.88644799999999
30,Armadale,Victoria_Park,Total_Pop,,,36260.0,36570.0,36714.0,36647,36503.0,36601.0,115.8977211,-31.9750418
20,Armadale,Canning,Total_Pop,,,93491.0,93843.0,93959.0,93733,93164.0,92965.0,115.91132,-32.0396243
10,Armadale,Gosnells,Total_Pop,,,119381.0,120756.0,121720.0,122011,122847.0,123325.0,115.9902668,-32.0823022
0,Armadale,Armadale,Total_Pop,,,72662.0,75559.0,78848.0,82021,84669.0,87634.0,116.0128764,-32.1473012
